unit	function	fuzzy	verdict	evidence
mario/Map/MapCheck	TMapCollisionData::intersectLine(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, bool, JGeometry::TVec3<float>*) const	96.56	UNSURE	symx loose 4 not resolved
mario/GC2D/PauseMenu2	TPauseMenu2::drawAppearPane(J2DPicture*, float, JUTRect&, float)	96.57	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjMamma	SandCastleCallBack(unsigned long, unsigned long)	96.57	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjBianco	TBellWatermill::control()	96.59	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/GCConsole2	TGCConsole2::countBlueCoin()	96.61	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/BathtubBinder	TBathtubBinder::float_(TLiveActor*)	96.62	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/feetinv	FeetInvCalc(J3DModel*, unsigned short, unsigned short, unsigned short, float)	96.64	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjMare	TCogwheel::initMapObj()	96.69	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/Tongue	TYoshiTongue::movement()	96.70	EQUIVALENT	retail calls the TVec3 copy ctor four times, ours inlines them; branch successors differ only by that
mario/MoveBG/MapObjMare	TCogwheel::draw() const	96.73	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JDrama/JDRFrmGXSet	JDrama::TFrmGXSet::perform(unsigned long, JDrama::TGraphics*)	96.76	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 23 return value r4 differs (0x220 'bclr 20,lt,0')) not confirmed by symx
mario/Enemy/tobiPuku	TobiPukuRollCallback(J3DNode*, int)	96.79	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bosswanwan	TNerveBWGraphWander::execute(TSpineBase<TLiveActor>*) const	96.79	UNSURE	symx loose 2 not resolved
mario/JSystem/JParticle/JPAField	JPAAirField::affect(JPAParticle*)	96.80	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/MarDirectorInitECT	TMarDirector::initECTGft(TPerformList*, TPerformList*, JDrama::TViewObjPtrListT<JDrama::TViewObj, JDrama::TViewObj>*, JDrama::TViewObjPtrListT<JDrama::TViewObj, JDrama::TViewObj>*)	96.81	UNSURE	object identity of the new-ed viewports vs push_back args; not resolved
mario/MSound/MSoundScene	MSSceneSE::frameLoop(unsigned long, Vec*, unsigned char)	96.82	EQUIVALENT	retail address has an extra 0*4 term: same address; equiv-check DIFFERENT (block 25 effect 1 address differs: 0x3cc 'lwz r0,1064(r25)' vs 0x3d8 ') not confirmed by symx
mario/Enemy/graph	TGraphGroup::perform(unsigned long, JDrama::TGraphics*)	96.82	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 4 return value r4 differs (0x614 'bclr 4,lt,0')) not confirmed by symx
mario/GC2D/Guide	TExPane::setPaneAlpha(long, short, short)	96.85	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/fireWanwan	TFireWanwanTailHit::init()	96.87	UNSURE	tail node init values: retail copies from the new-ed object, ours from the joint matrix; not resolved
mario/Enemy/bombhei	TNerveBombHeiThrown::execute(TSpineBase<TLiveActor>*) const	96.88	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 1 effect 9: 0x344 'lfs f4,888(r3)' vs 0x3f4 'lwz r6,0(0)') not confirmed by symx
mario/System/CardManager	TCardManager::cmdLoop()	96.89	EQUIVALENT	ours calls TCardSector::setCheckSum(0), retail inlines it (store write count 0, CalcCheckSum, store sum)
mario/Enemy/bosspakkun	TBossPakkunMtxCalc::calcHeadDir(unsigned short)	96.91	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 1 effect 8 address differs: 0x7004 'lfs f1,36(r5)' vs 0x7d54 'lf) not confirmed by symx
mario/NPC/NpcBase	TBaseNPC::perform(unsigned long, JDrama::TGraphics*)	96.92	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 34 effect 7: 0x46c 'lfs f1,292(r3)' vs 0x5d8 'lwz r4,292(r6)') not confirmed by symx
mario/Enemy/killer	KillerBodyCallback(J3DNode*, int)	96.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/wireTrap	TWireTrap::calcRootMatrix()	96.94	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/AnimalBase	SMS_Eular2Quat(const JGeometry::TVec3<float>&)	96.97	EQUIVALENT	returns TQuat4 through r3; f1 at blr is garbage, the stores are identical; equiv-check DIFFERENT (block 0 return value f1 differs (0x1444 'bclr 20,lt,0')) not confirmed by symx
mario/Enemy/Kukku	TNerveKukkuFall::execute(TSpineBase<TLiveActor>*) const	96.99	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecStripeCross::exec(const JPADrawContext*)	97.01	UNSURE	symx loose 40 not resolved
mario/Enemy/BossHanachanMain	TBossHanachan::execDamage()	97.04	EQUIVALENT	theNerve() is static: the r3 "argument" is garbage
mario/Enemy/tobiPuku	TTobiPuku::hitWall()	97.06	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Camera/CameraNotice	CPolarSubCamera::getNoticeActor_()	97.08	EQUIVALENT	returns a pointer; f1 at blr is garbage; equiv-check DIFFERENT (block 42 return value f1 differs (0x91c 'bclr 20,lt,0')) not confirmed by symx
mario/Enemy/tamaNoko	TTamaNokoFlower::perform(unsigned long, JDrama::TGraphics*)	97.11	BUG, fixed 4dd3c5b1	talk mode (not demo): retail returns whether or not cue&CUE_ENTRY (beq to the epilogue); ours fell through to unk18->perform() when the entry bit was clear; fixed, 97.11 -> 97.13, symx SAME
mario/Enemy/Kukku	TKukkuBall::perform(unsigned long, JDrama::TGraphics*)	97.17	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 12 effect 1: 0x22e0 'lfs f2,80(r29)' vs 0x3c94 'lwz r3,0(0)') not confirmed by symx
mario/GC2D/GCConsole2	TGCConsole2::perform(unsigned long, JDrama::TGraphics*)	97.18	UNSURE	symx loose 2 not resolved
mario/GC2D/Guide	TGuide::placeMario()	97.19	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Koopa	TKoopaBody::receiveMessage(THitActor*, unsigned long)	97.22	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/ModelWaterManager	TModelWaterManager::calcVMMtxGround(float(*)[4], float, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, float(*)[4])	97.22	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MarioUtil/ShadowUtil	TMBindShadowManager::calcVtx()	97.23	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjItem2	TJumpBase::control()	97.24	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 52 effect 0 call args differ: r6: 0x49c 'bl 49c <control__9TJump) not confirmed by symx
mario/Enemy/fireWanwan	TFireWanwanTailNode::perform(unsigned long, JDrama::TGraphics*, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	97.26	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/BathtubKiller	TBathtubKiller::makeQuat(JGeometry::TVec3<float>, float, float)	97.27	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 9 effect 4 stored value differs: 0x25dc 'stfs f2,428(r31)' vs 0x) not confirmed by symx
mario/Enemy/Kazekun	TKazekun::flyAroundMario()	97.28	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjBall	TBigWatermelon::touchActor(THitActor*)	97.28	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/Talk2D2	TTalk2D2::makeBoxLine(signed char, char*)	97.29	EQUIVALENT	only the association of the cancelling -0.5*sum / +0.5*sum terms differs (ULP-level rounding before the s16 round)
mario/Camera/CameraBGCheck	CPolarSubCamera::calcInHouseNo_(bool)	97.31	EQUIVALENT	stack array written through a loop pointer vs index (frame shift 8); r5 out-pointer neighbour words only
mario/Map/BathWaterManager	TBathWater::TDrop::calcBathtub(const TBathtubData&, float, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, int&, JGeometry::TVec3<float>&)	97.32	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 0 effect 5 address differs: 0x1738 'lfs f3,60(r4)' vs 0x17b8 'lf) not confirmed by symx
mario/Enemy/bosseel	TBEelTears::calcRootMatrix()	97.33	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjRailBlock	TRollBlock::calcRootMatrix()	97.34	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/chuuhana	ChuuHanaBodyCallback(J3DNode*, int)	97.40	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 12 effect 9 address differs: 0x4430 'lfs f6,0(r30)' vs 0x50dc 'l) not confirmed by symx
mario/MoveBG/MapObjMamma	TShiningStone::load(JSUMemoryInputStream&)	97.40	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/MapCheck	TMapCollisionData::checkWallList(const TBGCheckList*, TBGWallCheckRecord*)	97.42	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/MSoundMainSide	MSStageCubeFade::setBgmVolumeForce()	97.42	EQUIVALENT	the -1 path constant merges in one 3-way phi (retail) vs two 2-way phis (ours): same value
mario/Enemy/gesso	GessoBodyCallback(J3DNode*, int)	97.47	UNSURE	first PSMTXConcat input: retail slot last written by PSMTXConcat, ours by direct stores (gpCurGesso->m328, 0, 0): matrix build order differs; not resolved
mario/Map/BathWaterManager	JGeometry::TRotation3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float>>>::setLookDir(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	97.48	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::createParticle()	97.53	EQUIVALENT	JPAEmitterInfoObj reached by name (retail) vs section-relative .bss+0 (ours): same object and offsets
mario/Enemy/BossHanachanMain	TBossHanachan::throwMario_(THitActor*)	97.56	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Map/MapEventSink	TMapEventSinkBianco::finishControl()	97.59	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/MoveBG/MapObjInit	TMapObjBase::initMapObj()	97.61	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Amenbo	TNerveAmenboWalk::execute(TSpineBase<TLiveActor>*) const	97.62	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/NPC/NpcNerve	TNerveNPCGraphWander::execute(TSpineBase<TLiveActor>*) const	97.68	EQUIVALENT	retail calls getCurGraphIndex()/getGraph(), ours inlines both; equiv-check DIFFERENT (block 9 effect 1: 0x198c 'bl 198c <execute__20TNerveNPCGraphWanderCFP2) not confirmed by symx
mario/Player/ModelWaterManager	TModelWaterManager::calcVMMtxWall(float(*)[4], float, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, float(*)[4])	97.68	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kazekun	SMS_CalcToDirMatrix(JGeometry::TPosition3<JGeometry::TMatrix34<JGeometry::SMatrix34C<float>>>&, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	97.69	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/GCConsole2	TGCConsole2::drawWaterBack()	97.70	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Player/MarioCollision	TMario::damageExec(THitActor*, int, int, int, float, int, float, short)	97.71	EQUIVALENT	TVec3 copy ctor called vs inlined; the null-actor path tests a materialised bool (false) before changePlayerDropping
mario/Enemy/hanasambo	SamboHeadRollCallback(J3DNode*, int)	97.72	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 18 effect 8 address differs: 0x2568 'lfs f0,428(r3)' vs 0x2f6c ') not confirmed by symx
mario/Enemy/Kumokun	TKumokun::rotateGoalDirToLocal(const JGeometry::TVec3<float>&) const	97.73	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/GC2D/ConsoleStr	TConsoleStr::processGo(float)	97.73	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 19 effect 13: 0x1220 'lfd f0,552(r1)' vs 0x126c 'stw r8,500(r1)') not confirmed by symx
mario/GC2D/Guide	TGuide::resetObjects()	97.77	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/NPC/NpcAnm	TBaseNPC::setNpcAnm_(EnumNpcAnmKind, EnumNpcStopMotionBlendOnOff)	97.77	EQUIVALENT	null tests on getPartsMActor: cmplwi vs cmpwi, equality only; equiv-check DIFFERENT (block 72 branch: 0x3a0c 'bc 12,eq,3aa8 <setNpcAnm___8TBaseNPCF14EnumNp) not confirmed by symx
mario/Player/MarioRun	TMario::doRunningAnimation()	97.77	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Animal/Bird	TAnimalBird::moveObject()	97.78	UNSURE	symx loose 11 not resolved
mario/Enemy/enemy	TSpineEnemy::calcEnemyRootMatrix()	97.78	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Camera/CameraJetCoaster	CPolarSubCamera::ctrlJetCoasterCamera_()	97.79	UNSURE	symx loose 18 not resolved
mario/Enemy/popo	TPopo::calcRootMatrix()	97.81	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 16 branch: 0x1cd0 'bc 12,eq,1cf8 <calcRootMatrix__5TPopoFv+0x2cc) not confirmed by symx
mario/MarioUtil/LightUtil	TLightCommon::loadAfter()	97.81	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/bossgesso	TBossGesso::moveObject()	97.82	EQUIVALENT	retail calls SMS_GetMarioPos(), ours reads gpMarioPos inline; equiv-check DIFFERENT (block 33 effect 3: 0x4358 'lfs f30,764(r3)' vs 0x4604 'lwz r6,0(0)') not confirmed by symx
mario/NPC/NpcWalkTurn	TBaseNPC::execWalk(bool)	97.82	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 22 branch: 0x618 'bc 4,eq,624 <execWalk__8TBaseNPCFb+0x1a0>' vs ) not confirmed by symx
mario/Camera/cameralib	CLBRotatePosAndUp(short, short, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, JGeometry::TVec3<float>*, JGeometry::TVec3<float>*)	97.85	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/System/MSoundMainSide	MSStageCubeFadeDouble::proc()	97.86	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 4 branch: 0x768 'bc 12,eq,784 <proc__21MSStageCubeFadeDoubleFv+0) not confirmed by symx
mario/Animal/BeeHive	TNerveBeeHiveWait::execute(TSpineBase<TLiveActor>*) const	97.87	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical; equiv-check DIFFERENT (block 5 effect 12 address differs: 0x100c 'lwz r5,336(r31)' vs 0x12bc ) not confirmed by symx
mario/Enemy/hanasambo	TSamboFlowerCoinUnit::checkGenCoin()	97.87	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Amenbo	TNerveAmenboSearch::execute(TSpineBase<TLiveActor>*) const	97.87	EQUIVALENT	setRotate axis temporaries differ only in which set() wrote the slots
mario/Enemy/chuuhana	TNerveChuuHanaRoll::execute(TSpineBase<TLiveActor>*) const	97.89	UNSURE	willFall false: retail stores owner+0x204 first, ours tests the nerve timer against 5000 first; not resolved
mario/Enemy/bosswanwan	TNerveBWJump::execute(TSpineBase<TLiveActor>*) const	97.92	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/igaiga	TRollEnemy::walkBehavior(int, float)	97.93	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/Kumokun	TKumokun::checkOnMovingFloor(JGeometry::TVec3<float>*, const TBGCheckData**, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&) const	97.95	UNSURE	checkGround out-pointer: retail passes a stack slot, ours the caller pointer (both keep r5 in r29); stores come from stack temporaries
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecStripe::exec(const JPADrawContext*)	97.97	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
mario/Enemy/tinkoopa	TTinKoopaPartsBase::emitPartsTrackEffects(const char**, int)	98.00	EQUIVALENT	symx SAME: stores, calls+args, compares, returns and branch predicates with successors identical
