unit	function	verdict	evidence
mario/Enemy/gesso	GessoBodyCallback(J3DNode*, int)	EQUIVALENT	same four MTXConcat calls on the same matrices (rot in a saved register, scale at 116/132); retail stores 1.0 then reloads 0.0 where ours preloads both; symx residue is the tool assuming the first concat clobbers the escaped stack matrix
mario/Animal/Bird	TAnimalBird::moveObject()	EQUIVALENT	checkChangeToItem: ours routes the two skip conditions through a bool (li 0 / li 1 / beq) where retail branches directly; same targets; theNerve arg residue is dead r3
mario/Camera/CameraJetCoaster	CPolarSubCamera::ctrlJetCoasterCamera_()	BUG, fixed	after setRotate retail multiplies mUp by the transpose (reads m[0][0], m[1][0], m[2][0] for x), ours used mult33 (the row); fixed in 4f17f0da; the residue left is symx treating the escaped offset copy as clobbered by setRotate
mario/Enemy/chuuhana	TNerveChuuHanaRoll::execute(TSpineBase<TLiveActor>*) const	BUG, fixed	retail only tests getTime() > 5000 when unk1B0 is 0; ours also timed out when unk1B0 was set and willFall was false; fixed in b029dc98, symx now SAME
mario/Enemy/Kumokun	TKumokun::checkOnMovingFloor(JGeometry::TVec3<float>*, const TBGCheckData**, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&) const	EQUIVALENT	retail passes a dead local (r1+124) as checkGround's floor out-pointer, ours passes param_2; *param_2 is overwritten with the wall result before return and nothing reads it in between
mario/Enemy/fireWanwan	TTailRubber::restrict()	BUG, fixed	the mFixTailPos loop does not zero diff.y in retail (no stfs of 0.0 into the diff); ours flattened it; fixed in 2dbfc03c (98.06 -> 98.41), symx now SAME
mario/System/MarDirectorSetupObjects	TMarDirector::setupObjects()	BUG, fixed	four faults: gameObjs typed as TNameRefPtrListT so all 7 inserts used list +0xC (retail +0x10, TViewObjPtrListT); unk40 got the Draw Buffer Group instead of the new TFrmGXSet (retail r29); the PerformLists stream read &mDvdFileInfo instead of loadToMainRAM's buffer; the first CalcAnim push is 合成3 (not the dialogue cursor) and sunOcclusionGlow precedes lensFlare. The "extra null test" was mr. vs cmplwi. fixed in 10a806b7 (98.19 -> 99.20)
mario/GC2D/Guide	TGuide::resetScore()	EQUIVALENT	opcode-identical; symx residue is retail adding the unextended boss count (0-2) where ours adds the extsh'd one
mario/Enemy/pakkun	TPakkunSeed::rebirth()	EQUIVALENT	retail accepts 256, (x-257)&0xffff <= 4, 16644; ours 256, x==257, (x-258)&0xffff <= 3, 16644: the same set {256, 257..261, 16644} reaching the same li 1 / li 0 join; bodies instruction-identical
mario/System/MarDirectorDirect	TMarDirector::nextStateInitialize(unsigned char)	EQUIVALENT	opcode-identical with consistent register renaming; identical 13-entry jump tables and fader-name strings; the TColor goes through the same four byte stores and copy
mario/Enemy/bosswanwan	TBWBinder::bind(TLiveActor*)	EQUIVALENT	commuted fadds and fcmpu operands feeding bne, node-array loads rescheduled (same base + idx*16), one constant stored in another order; symx residue is stack addresses passed to calls
mario/Enemy/enemyMario	TEnemyMario::findRunAwayNearestNode()	EQUIVALENT	retail keeps *(*(this+292)) in r3 at the loop header, ours keeps *(this+292) and reloads; same getPoint receiver; best/second-best tracking and final selection correspond one to one
mario/Map/BathWaterManager	TBathWaterManager::initializeIfYet_()	EQUIVALENT	.sdata2 order of 2.0f/4.0f swapped so f26/f27 trade roles; initHitActor gets radius*2 and the separation code 2r and 4r^2 in both; setMin/setMax temporaries store the same products in another order
mario/Enemy/killer	TNerveFlyEnemyChaseFly::execute(TSpineBase<TLiveActor>*) const	EQUIVALENT	both copy the member velocity (+0x94..0x9c) to the stack, add the cos/sin step and write it back; (a/b)*s vs s*(a/b) only commutes; clamp traced identical
mario/Player/MarioPhysics	TMario::checkGroundAtJumping(const Vec&, int)	BUG, fix pending	retail sets roofCode 0 even when (param_2 & 2) is clear (beq to li r27,0 at 0x3d0), and a Mario who cannot hang falls to the clash-angle else-if (bne 0x52c); ours skips both. The function's TODO already records retail's form. Fix lowers fuzzy 98.94 -> 98.7: docs/progress/semantic-review/pending-MarioPhysics-checkGroundAtJumping.patch
mario/Player/MarioDraw	MarioHeadCtrl(J3DNode*, int)	BUG, fix pending	the wall-in-front head angle applies only when mStatus == MARIO_STATUS_WAIT (retail branches from the status test at 0x1ec straight to the default arm); ours tests isWallInFront() for any status. Fix lowers fuzzy 98.99 -> 97.8: docs/progress/semantic-review/pending-MarioDraw-MarioHeadCtrl.patch
